"Date","Transaction type","Order ID","Product Details","Total product charges","Total promotional rebates","Amazon fees","Other","Total (USD)"
"11/3/2021","Order Payment","112-5674840-5161805","Vorelec MX-21 Two-Channel Headphone Mixe...","29.98","0","-7.97","0","22.01"
"11/3/2021","Order Payment","112-8221274-2715468","Vorelec MX-21 Two-Channel Headphone Mixe...","29.98","0","-7.97","0","22.01"
"11/2/2021","Order Payment","111-9593736-2449860","Vorelec MX-21 Two-Channel Headphone Mixe...","29.98","0","-7.97","0","22.01"
"11/1/2021","Order Payment","113-2588063-1073821","Vorelec MX-21 Two-Channel Headphone Mixe...","29.98","0","-7.97","0","22.01"
"10/30/2021","Order Payment","111-1759808-9685027","Vorelec MX-21 Two-Channel Headphone Mixe...","29.98","0","-7.97","0","22.01"
"10/28/2021","Order Payment","111-3887693-2729060","Vorelec MX-21 Two-Channel Headphone Mixe...","29.98","0","-7.97","0","22.01"
"10/25/2021","Refund","114-6372825-9406602","Vorelec MX-21 Two-Channel Headphone Mixe...","-29.98","0","3.6","0","-26.38"
"10/22/2021","Order Payment","113-1845297-6650624","Vorelec MX-21 Two-Channel Headphone Mixe...","29.98","0","-7.97","0","22.01"
"10/20/2021","Previous statement's unavailable balance","---","Previous Reserve Amount Balance ","0","0","0","70.23","70.23"
"10/20/2021","Unavailable balance","---","Current Reserve Amount ","0","0","0","-70.23","-70.23"
"10/18/2021","Service Fees","---","Inbound Transportation Charge","0","0","-8.24","0","-8.24"
"10/15/2021","Order Payment","114-0476400-9396205","Vorelec MX-21 Two-Channel Headphone Mixe...","29.98","0","-7.97","0","22.01"
"10/14/2021","Order Payment","111-6662550-4905009","Vorelec MX-21 Two-Channel Headphone Mixe...","29.98","0","-7.97","0","22.01"
"10/13/2021","Order Payment","111-2516269-2920235","Vorelec MX-21 Two-Channel Headphone Mixe...","29.98","0","-7.97","0","22.01"
"10/8/2021","Service Fees","---","Subscription Fee:","0","0","-17.98","0","-17.98"
"10/7/2021","Order Payment","114-6372825-9406602","Vorelec MX-21 Two-Channel Headphone Mixe...","29.98","0","-7.97","0","22.01"
"10/7/2021","Service Fees","---","FBA Inventory Storage Fee","0","0","-0.68","0","-0.68"
"10/6/2021","Previous statement's unavailable balance","---","Previous Reserve Amount Balance ","0","0","0","97.56","97.56"
"10/6/2021","Unavailable balance","---","Current Reserve Amount ","0","0","0","-97.56","-97.56"
"10/5/2021","Service Fees","---","Inbound Transportation Charge","0","0","-7.81","0","-7.81"
"9/30/2021","Order Payment","113-7138094-8331457","Vorelec MX-21 Two-Channel Headphone Mixe...","29.98","0","-7.97","0","22.01"
"9/30/2021","Order Payment","111-5130558-9710658","Vorelec MX-21 Two-Channel Headphone Mixe...","29.98","0","-7.97","0","22.01"
"9/29/2021","Order Payment","112-8614171-9868231","Vorelec MX-21 Two-Channel Headphone Mixe...","29.98","0","-7.97","0","22.01"
"9/28/2021","Order Payment","111-1621370-6671450","Vorelec MX-21 Two-Channel Headphone Mixe...","29.98","0","-7.97","0","22.01"
"9/26/2021","Order Payment","114-1363245-6731458","Vorelec MX-21 Two-Channel Headphone Mixe...","29.98","0","-7.97","0","22.01"
"9/25/2021","Order Payment","113-7449326-2478639","Vorelec MX-21 Two-Channel Headphone Mixe...","29.98","0","-7.97","0","22.01"
"9/25/2021","Service Fees","210915151J","FBA Removal Order: Return Fee","0","0","-0.32","0","-0.32"
"9/22/2021","Unavailable balance","---","Current Reserve Amount ","0","0","0","-78.35","-78.35"
"9/22/2021","Previous statement's unavailable balance","---","Previous Reserve Amount Balance ","0","0","0","78.35","78.35"
"9/19/2021","Order Payment","112-4750065-5753807","Vorelec MX-21 Two-Channel Headphone Mixe...","29.98","0","-7.97","0","22.01"
"9/19/2021","Order Payment","114-6505492-3951428","Vorelec MX-21 Two-Channel Headphone Mixe...","29.98","0","-7.97","0","22.01"
"9/15/2021","Order Payment","114-5972453-2037038","Vorelec MX-21 Two-Channel Headphone Mixe...","29.98","0","-15.12","7.15","22.01"
"9/13/2021","Order Payment","114-1221415-2033823","Vorelec MX-21 Two-Channel Headphone Mixe...","29.98","-7.15","-7.97","7.15","22.01"
"9/10/2021","Service Fees","---","Inbound Transportation Charge","0","0","-9.69","0","-9.69"
"9/8/2021","Service Fees","---","Inbound Transportation Charge","0","0","-9.44","0","-9.44"
"9/8/2021","Service Fees","xl8kcBi023","FBA Removal Order: Disposal Fee","0","0","-0.32","0","-0.32"
"9/7/2021","Service Fees","---","FBA Inventory Storage Fee","0","0","-0.12","0","-0.12"
