Date,Ordered Product Sales,Units Ordered,Total Order Items,Average Sales per Order Item,Average Units per Order Item,Average Selling Price,Sessions,Order Item Session Percentage,Average Offer Count
1/10/22,$0.00,0,0,$0.00,0,$0.00,0,0.00%,0
1/11/22,$0.00,0,0,$0.00,0,$0.00,0,0.00%,0
1/12/22,$0.00,0,0,$0.00,0,$0.00,3,0.00%,1
1/13/22,$29.98,1,1,$29.98,1,$29.98,6,16.67%,1
1/14/22,$59.96,2,2,$29.98,1,$29.98,14,14.29%,1
1/15/22,$0.00,0,0,$0.00,0,$0.00,5,0.00%,1
1/16/22,$29.98,1,1,$29.98,1,$29.98,7,14.29%,1
1/17/22,$29.98,1,1,$29.98,1,$29.98,4,25.00%,1
1/18/22,$29.98,1,1,$29.98,1,$29.98,12,8.33%,1
1/19/22,$59.96,2,2,$29.98,1,$29.98,7,28.57%,1
1/20/22,$29.98,1,1,$29.98,1,$29.98,11,9.09%,1
1/21/22,$29.98,1,1,$29.98,1,$29.98,5,20.00%,1
1/22/22,$0.00,0,0,$0.00,0,$0.00,7,0.00%,1
1/23/22,$59.96,2,2,$29.98,1,$29.98,6,33.33%,1
1/24/22,$0.00,0,0,$0.00,0,$0.00,9,0.00%,2
1/25/22,$0.00,0,0,$0.00,0,$0.00,7,0.00%,2
1/26/22,$29.98,1,1,$29.98,1,$29.98,6,16.67%,2
1/27/22,$0.00,0,0,$0.00,0,$0.00,7,0.00%,2
1/28/22,$0.00,0,0,$0.00,0,$0.00,4,0.00%,2
1/29/22,$29.98,1,1,$29.98,1,$29.98,4,25.00%,2
1/30/22,$29.98,1,1,$29.98,1,$29.98,7,14.29%,2
1/31/22,$0.00,0,0,$0.00,0,$0.00,7,0.00%,2
2/1/22,$0.00,0,0,$0.00,0,$0.00,3,0.00%,2
2/2/22,$59.96,2,2,$29.98,1,$29.98,12,16.67%,2
2/3/22,$29.98,1,1,$29.98,1,$29.98,10,10.00%,2
2/4/22,$0.00,0,0,$0.00,0,$0.00,7,0.00%,2
2/5/22,$29.98,1,1,$29.98,1,$29.98,5,20.00%,2
2/6/22,$0.00,0,0,$0.00,0,$0.00,1,0.00%,2
2/7/22,$29.98,1,1,$29.98,1,$29.98,16,6.25%,2
2/8/22,$29.98,1,1,$29.98,1,$29.98,7,14.29%,2
2/9/22,$0.00,0,0,$0.00,0,$0.00,5,0.00%,2
2/10/22,$0.00,0,0,$0.00,0,$0.00,7,0.00%,2
2/11/22,$0.00,0,0,$0.00,0,$0.00,0,0.00%,2
2/12/22,$0.00,0,0,$0.00,0,$0.00,6,0.00%,2
2/13/22,$0.00,0,0,$0.00,0,$0.00,7,0.00%,2
2/14/22,$0.00,0,0,$0.00,0,$0.00,2,0.00%,2
2/15/22,$0.00,0,0,$0.00,0,$0.00,3,0.00%,2
2/16/22,$0.00,0,0,$0.00,0,$0.00,9,0.00%,2
2/17/22,$29.98,1,1,$29.98,1,$29.98,11,9.09%,2
